Track,Date,Driver,Lap,Time,Sector 1,Sector 2,Sector 3
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,17,31.808,11.103,10.303,10.402
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,18,31.859,11.196,10.346,10.317
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,19,32.065,11.210,10.512,10.343
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,20,32.229,11.173,10.530,10.526
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,21,31.709,11.068,10.269,10.372
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,22,32.167,11.271,10.457,10.439
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,23,32.123,11.287,10.446,10.390
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,24,31.887,11.074,10.346,10.467
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,25,32.435,11.297,10.591,10.547
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,26,32.209,11.252,10.529,10.428
Fastimes Indoor Karting,2026-08-11,Jesse Lund,1,33.461,11.757,10.828,10.876
Fastimes Indoor Karting,2026-08-11,Jesse Lund,2,33.216,11.511,10.909,10.796
Fastimes Indoor Karting,2026-08-11,Jesse Lund,3,32.883,11.436,10.739,10.708
Fastimes Indoor Karting,2026-08-11,Jesse Lund,4,32.675,11.381,10.649,10.645
Fastimes Indoor Karting,2026-08-11,Jesse Lund,5,32.737,11.453,10.677,10.607
Fastimes Indoor Karting,2026-08-11,Jesse Lund,6,32.400,11.310,10.581,10.509
Fastimes Indoor Karting,2026-08-11,Jesse Lund,7,42.375,14.865,13.729,13.781
Fastimes Indoor Karting,2026-08-11,Jesse Lund,8,32.153,11.252,10.469,10.432
Fastimes Indoor Karting,2026-08-11,Jesse Lund,9,32.388,11.255,10.623,10.510
Fastimes Indoor Karting,2026-08-11,Jesse Lund,10,31.734,11.106,10.338,10.290
Fastimes Indoor Karting,2026-08-11,Jesse Lund,11,34.353,12.014,11.244,11.095
Fastimes Indoor Karting,2026-08-11,Jesse Lund,12,32.807,11.427,10.657,10.723
Fastimes Indoor Karting,2026-08-11,Jesse Lund,13,32.798,11.436,10.767,10.595
Fastimes Indoor Karting,2026-08-11,Jesse Lund,14,32.590,11.386,10.574,10.630
Fastimes Indoor Karting,2026-08-11,Jesse Lund,15,32.432,11.391,10.538,10.503
Fastimes Indoor Karting,2026-08-11,Jesse Lund,16,31.724,11.123,10.390,10.211
Fastimes Indoor Karting,2026-08-11,Jesse Lund,17,32.566,11.396,10.551,10.619
Fastimes Indoor Karting,2026-08-11,Jesse Lund,18,32.981,11.457,10.670,10.854
Fastimes Indoor Karting,2026-08-11,Jesse Lund,19,32.697,11.458,10.728,10.511
Fastimes Indoor Karting,2026-08-11,Jesse Lund,20,32.227,11.164,10.527,10.536
Fastimes Indoor Karting,2026-08-11,Jesse Lund,21,32.212,11.224,10.548,10.440
Fastimes Indoor Karting,2026-08-11,Jesse Lund,22,32.694,11.435,10.578,10.681
Fastimes Indoor Karting,2026-08-11,Jesse Lund,23,32.384,11.218,10.618,10.548
Fastimes Indoor Karting,2026-08-11,Jesse Lund,24,31.818,11.115,10.455,10.248
Fastimes Indoor Karting,2026-08-11,Jesse Lund,25,31.848,11.137,10.442,10.269
Fastimes Indoor Karting,2026-08-11,Dana Cho,1,32.850,11.386,10.773,10.691
Fastimes Indoor Karting,2026-08-11,Dana Cho,2,33.675,11.700,11.022,10.953
Fastimes Indoor Karting,2026-08-11,Dana Cho,3,32.784,11.496,10.618,10.670
Fastimes Indoor Karting,2026-08-11,Dana Cho,4,32.592,11.378,10.560,10.654
Fastimes Indoor Karting,2026-08-11,Dana Cho,5,32.812,11.434,10.638,10.740
Fastimes Indoor Karting,2026-08-11,Dana Cho,6,32.100,11.151,10.430,10.519
Fastimes Indoor Karting,2026-08-11,Dana Cho,7,33.297,11.569,10.786,10.942
Fastimes Indoor Karting,2026-08-11,Dana Cho,8,32.278,11.182,10.591,10.505
Fastimes Indoor Karting,2026-08-11,Dana Cho,9,33.270,11.625,10.932,10.713
Fastimes Indoor Karting,2026-08-11,Dana Cho,10,34.391,12.003,11.146,11.242
Fastimes Indoor Karting,2026-08-11,Dana Cho,11,32.006,11.170,10.379,10.457
Fastimes Indoor Karting,2026-08-11,Dana Cho,12,31.870,11.199,10.346,10.325
Fastimes Indoor Karting,2026-08-11,Dana Cho,13,33.178,11.614,10.807,10.757
Fastimes Indoor Karting,2026-08-11,Dana Cho,14,32.441,11.252,10.563,10.626
Fastimes Indoor Karting,2026-08-11,Dana Cho,15,32.490,11.274,10.662,10.554
Fastimes Indoor Karting,2026-08-11,Dana Cho,16,33.181,11.654,10.858,10.669
Fastimes Indoor Karting,2026-08-11,Dana Cho,17,32.357,11.368,10.628,10.361
Fastimes Indoor Karting,2026-08-11,Dana Cho,18,33.270,11.640,10.857,10.773
Fastimes Indoor Karting,2026-08-11,Dana Cho,19,33.179,11.639,10.836,10.704
Fastimes Indoor Karting,2026-08-11,Dana Cho,20,32.251,11.238,10.431,10.582
Fastimes Indoor Karting,2026-08-11,Dana Cho,21,32.484,11.336,10.619,10.529
Fastimes Indoor Karting,2026-08-11,Dana Cho,22,32.738,11.471,10.648,10.619
Fastimes Indoor Karting,2026-08-11,Dana Cho,23,32.980,11.593,10.780,10.607
Fastimes Indoor Karting,2026-08-11,Dana Cho,24,32.119,11.230,10.540,10.349
Fastimes Indoor Karting,2026-08-11,Marcus Webb,1,33.292,11.649,10.857,10.786
Fastimes Indoor Karting,2026-08-11,Marcus Webb,2,33.210,11.535,10.882,10.793
Fastimes Indoor Karting,2026-08-11,Marcus Webb,3,32.813,11.539,10.676,10.598
Fastimes Indoor Karting,2026-08-11,Marcus Webb,4,33.044,11.562,10.697,10.785
Fastimes Indoor Karting,2026-08-11,Marcus Webb,5,32.618,11.295,10.580,10.743
Fastimes Indoor Karting,2026-08-11,Marcus Webb,6,32.932,11.548,10.743,10.641
Fastimes Indoor Karting,2026-08-11,Marcus Webb,7,32.905,11.537,10.782,10.586
Fastimes Indoor Karting,2026-08-11,Marcus Webb,8,32.805,11.379,10.659,10.767
Fastimes Indoor Karting,2026-08-11,Marcus Webb,9,32.642,11.464,10.623,10.555
Fastimes Indoor Karting,2026-08-11,Marcus Webb,10,33.940,11.890,11.073,10.977
Fastimes Indoor Karting,2026-08-11,Marcus Webb,11,32.727,11.451,10.641,10.635
Fastimes Indoor Karting,2026-08-11,Marcus Webb,12,33.032,11.517,10.679,10.836
Fastimes Indoor Karting,2026-08-11,Marcus Webb,13,32.920,11.407,10.765,10.748
Fastimes Indoor Karting,2026-08-11,Marcus Webb,14,32.745,11.473,10.702,10.570
Fastimes Indoor Karting,2026-08-11,Marcus Webb,15,32.830,11.405,10.711,10.714
Fastimes Indoor Karting,2026-08-11,Marcus Webb,16,32.518,11.297,10.596,10.625
Fastimes Indoor Karting,2026-08-11,Marcus Webb,17,32.889,11.550,10.635,10.704
Fastimes Indoor Karting,2026-08-11,Marcus Webb,18,32.506,11.386,10.570,10.550
Fastimes Indoor Karting,2026-08-11,Marcus Webb,19,32.798,11.366,10.697,10.735
Fastimes Indoor Karting,2026-08-11,Marcus Webb,20,33.050,11.586,10.794,10.670
Fastimes Indoor Karting,2026-08-11,Marcus Webb,21,32.921,11.542,10.722,10.657
Fastimes Indoor Karting,2026-08-11,Marcus Webb,22,32.991,11.536,10.678,10.777
Fastimes Indoor Karting,2026-08-11,Marcus Webb,23,32.623,11.451,10.671,10.501
Fastimes Indoor Karting,2026-08-11,Marcus Webb,24,33.128,11.509,10.865,10.754
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,1,33.269,11.562,10.763,10.944
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,2,33.448,11.589,10.978,10.881
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,3,33.295,11.674,10.773,10.848
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,4,33.088,11.598,10.740,10.750
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,5,33.591,11.675,10.898,11.018
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,6,33.561,11.752,10.990,10.819
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,7,33.574,11.805,10.988,10.781
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,8,32.867,11.481,10.758,10.628
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,9,32.935,11.468,10.676,10.791
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,10,34.895,12.245,11.369,11.281
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,11,32.854,11.481,10.707,10.666
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,12,32.556,11.426,10.634,10.496
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,13,32.694,11.499,10.612,10.583
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,14,33.288,11.677,10.929,10.682
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,15,33.522,11.664,10.954,10.904
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,16,33.320,11.596,10.895,10.829
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,17,32.899,11.570,10.687,10.642
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,18,33.443,11.695,10.965,10.783
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,19,33.184,11.604,10.762,10.818
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,20,33.270,11.572,10.900,10.798
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,21,33.255,11.627,10.806,10.822
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,22,33.571,11.780,10.946,10.845
Fastimes Indoor Karting,2026-08-11,Hana Suzuki,23,33.423,11.728,10.810,10.885
